time,diameter,pressure
94,0.6892138,100.7430621
94.5,0.6893326,100.757942
95,0.689446,100.7697458
95.5,0.689553,100.7788123
96,0.6896523,100.7854802
96.5,0.689743,100.7900883
97,0.6898238,100.7929753
97.5,0.6898937,100.79448
98,0.6899514,100.794941
98.5,0.6899958,100.7946971
99,0.6900259,100.7940871
99.5,0.6900405,100.7934497
100,0.6900401,100.7931236
100.5,0.6900254,100.7934473
101,0.6899975,100.7947029
101.5,0.6899573,100.7970436
102,0.6899056,100.8006046
102.5,0.6898435,100.8055211
103,0.6897719,100.8119283
103.5,0.6896916,100.8199614
104,0.6896037,100.8297558
104.5,0.689509,100.8414465
105,0.6894086,100.8551688
105.5,0.6893032,100.871058
106,0.6891939,100.8892492
106.5,0.6890815,100.9098777
107,0.6889671,100.9330787
107.5,0.6888515,100.9589874
108,0.6887357,100.987739
108.5,0.6886206,101.0194688
109,0.6885071,101.054312
109.5,0.6883962,101.0924038
110,0.6882888,101.1338794
110.5,0.6881852,101.1788727
111,0.6880852,101.2272834
111.5,0.6879889,101.2785032
112,0.6878961,101.3318574
112.5,0.6878066,101.3866714
113,0.6877204,101.4422704
113.5,0.6876373,101.4979798
114,0.6875573,101.553125
114.5,0.6874803,101.6070312
115,0.687406,101.6590238
115.5,0.6873344,101.708428
116,0.6872655,101.7545694
116.5,0.687199,101.7967731
117,0.6871349,101.8343645
117.5,0.6870731,101.8666689
118,0.6870134,101.8930117
118.5,0.6869558,101.9127181
119,0.6869001,101.9251136
119.5,0.6868463,101.9295234
120,0.6867941,101.9252729
120.5,0.6867435,101.9117321
121,0.6866944,101.8890136
121.5,0.6866462,101.8578419
122,0.6865986,101.8189597
122.5,0.6865513,101.7731096
123,0.6865038,101.7210343
123.5,0.6864559,101.6634765
124,0.6864071,101.6011789
124.5,0.686357,101.5348841
125,0.6863053,101.4653349
125.5,0.6862516,101.3932738
126,0.6861955,101.3194436
126.5,0.6861367,101.2445869
127,0.6860747,101.1694464
127.5,0.6860093,101.0947649
128,0.6859399,101.0212849
128.5,0.6858663,100.9497491
129,0.6857881,100.8809003
129.5,0.6857049,100.8154811
130,0.6856162,100.7542341
130.5,0.6855222,100.6978645
131,0.6854234,100.6465
131.5,0.6853203,100.5998159
132,0.6852135,100.5574754
132.5,0.6851036,100.5191419
133,0.6849913,100.4844784
133.5,0.684877,100.4531483
134,0.6847615,100.4248148
134.5,0.6846452,100.3991412
135,0.6845288,100.3757905
135.5,0.6844129,100.3544262
136,0.6842981,100.3347114
136.5,0.6841849,100.3163093
137,0.6840739,100.2988833
137.5,0.6839658,100.2820964
138,0.6838612,100.2656121
138.5,0.6837605,100.2490934
139,0.6836645,100.2322036
139.5,0.6835736,100.214606
140,0.6834883,100.1959638
140.5,0.6834081,100.1759402
141,0.6833326,100.1542136
141.5,0.6832614,100.1307097
142,0.683194,100.105555
142.5,0.68313,100.0788821
143,0.683069,100.0508234
143.5,0.6830105,100.0215115
144,0.6829541,99.9910788
144.5,0.6828994,99.9596579
145,0.6828459,99.9273812
145.5,0.6827931,99.8943813
146,0.6827408,99.8607906
146.5,0.6826883,99.8267416
147,0.6826354,99.7923669
147.5,0.6825814,99.7577989
148,0.6825261,99.72317
148.5,0.682469,99.6886129
149,0.6824096,99.6542601
149.5,0.6823476,99.6202439
150,0.6822824,99.5866969
150.5,0.6822138,99.5537516
151,0.682142,99.5215304
151.5,0.6820676,99.4900034
152,0.6819909,99.4590228
152.5,0.6819122,99.428438
153,0.6818321,99.3980981
153.5,0.6817509,99.3678522
154,0.6816689,99.3375498
154.5,0.6815867,99.3070398
155,0.6815046,99.2761717
155.5,0.681423,99.2447945
156,0.6813423,99.2127575
156.5,0.6812629,99.1799099
157,0.6811852,99.1461009
157.5,0.6811097,99.1111798
158,0.6810367,99.0749957
158.5,0.6809666,99.0373979
159,0.6808999,98.9982356
159.5,0.6808368,98.957358
160,0.680778,98.9146143
160.5,0.6807234,98.869897
161,0.680673,98.8232745
161.5,0.6806266,98.7748596
162,0.6805839,98.7247653
162.5,0.6805447,98.6731044
163,0.6805088,98.6199899
163.5,0.6804759,98.5655345
164,0.680446,98.5098513
164.5,0.6804187,98.4530531
165,0.6803938,98.3952528
165.5,0.6803711,98.3365632
166,0.6803505,98.2770974
166.5,0.6803316,98.2169681
167,0.6803144,98.1562883
167.5,0.6802984,98.0951708
168,0.6802837,98.0337286
168.5,0.6802698,97.9720745
169,0.6802567,97.9103214
169.5,0.680244,97.8485823
170,0.6802316,97.78697
170.5,0.6802193,97.7255974
171,0.6802069,97.6645774
171.5,0.6801941,97.6040229
172,0.6801807,97.5440468
172.5,0.6801665,97.4847619
173,0.6801513,97.4262813
173.5,0.6801348,97.3687177
174,0.680117,97.312184
174.5,0.6800974,97.2567932
175,0.680076,97.2026581
175.5,0.6800525,97.1498917
176,0.6800267,97.0986068
176.5,0.6799983,97.0489163
177,0.6799673,97.0009331
177.5,0.6799333,96.9547701
178,0.6798961,96.9105402
178.5,0.6798555,96.8683562
179,0.6798113,96.8283312
179.5,0.6797633,96.7905779
180,0.6797113,96.7552093
